"drug","event"
1125315,40481087
1112807,40481087
1713332,40481087
1759842,40481087
1729720,40481087
1177480,40481087
1119510,40481087
738818,40481087
1118084,40481087
19127890,40481087
1125315,4112343
1112807,4112343
1713332,4112343
1759842,4112343
1729720,4112343
1177480,4112343
1119510,4112343
738818,4112343
1118084,4112343
19127890,4112343
1125315,260139
1112807,260139
1713332,260139
1759842,260139
1729720,260139
1177480,260139
1119510,260139
738818,260139
1118084,260139
19127890,260139
1125315,372328
1112807,372328
1713332,372328
1759842,372328
1729720,372328
1177480,372328
1119510,372328
738818,372328
1118084,372328
19127890,372328
1125315,80180
1112807,80180
1713332,80180
1759842,80180
1729720,80180
1177480,80180
1119510,80180
738818,80180
1118084,80180
19127890,80180
1125315,28060
1112807,28060
1713332,28060
1759842,28060
1729720,28060
1177480,28060
1119510,28060
738818,28060
1118084,28060
19127890,28060
1125315,81151
1112807,81151
1713332,81151
1759842,81151
1729720,81151
1177480,81151
1119510,81151
738818,81151
1118084,81151
19127890,81151
1125315,378001
1112807,378001
1713332,378001
1759842,378001
1729720,378001
1177480,378001
1119510,378001
738818,378001
1118084,378001
19127890,378001
1125315,4283893
1112807,4283893
1713332,4283893
1759842,4283893
1729720,4283893
1177480,4283893
1119510,4283893
738818,4283893
1118084,4283893
19127890,4283893
1125315,4294548
1112807,4294548
1713332,4294548
1759842,4294548
1729720,4294548
1177480,4294548
1119510,4294548
738818,4294548
1118084,4294548
19127890,4294548
